Run_Type_Special Ed PM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_12_to_13,Boro_Manhattan,Bus_Company_Name_LEESEL TRANSP CORP (B2192,Delayed_16-30_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_No,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Special Ed AM Run,Reason_Mechanical Problem,Occured_on_Thu,Occured_Between_12_to_13,Boro_Manhattan,"Bus_Company_Name_RELIANT TRANS, INC. (B232",1-10_Students,Has_Contractor_Notified_Schools_No,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_Yes,Result_Mechanical Problem
Run_Type_Special Ed PM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_13_to_14,Boro_Brooklyn,Bus_Company_Name_ALLIED TRANSIT CORP.,Delayed_16-30_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Pre-K/EI,Reason_Heavy Traffic,Occured_on_Fri,Occured_Between_8_to_9,Boro_Bronx,"Bus_Company_Name_G.V.C., LTD.",Delayed_16-30_MINs,1-10_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Special Ed PM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_13_to_14,Boro_Manhattan,Bus_Company_Name_LEESEL TRANSP CORP (B2192,Delayed_31-60_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_No,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Special Ed PM Run,Reason_Flat Tire,Occured_on_Thu,Occured_Between_13_to_14,Boro_Bronx,Bus_Company_Name_PRIDE TRANSPORTATION (SCH,Delayed_0-15_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_Yes,Result_Flat Tire
Run_Type_Pre-K/EI,Reason_Heavy Traffic,Occured_on_Tue,Occured_Between_7_to_8,Boro_Bronx,"Bus_Company_Name_G.V.C., LTD.",Delayed_16-30_MINs,11-20_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Special Ed AM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_7_to_8,Boro_Manhattan,Bus_Company_Name_LEESEL TRANSP CORP (B2192),Delayed_31-60_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Pre-K/EI,Reason_Heavy Traffic,Occured_on_Fri,Occured_Between_7_to_8,Boro_Bronx,"Bus_Company_Name_G.V.C., LTD.",Delayed_0-15_MINs,11-20_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_Yes,Result_Heavy Traffic
Run_Type_Pre-K/EI,Reason_Heavy Traffic,Occured_on_Mon,Occured_Between_8_to_9,Boro_Bronx,"Bus_Company_Name_G.V.C., LTD.",Delayed_16-30_MINs,11-20_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_Yes,Result_Heavy Traffic
Run_Type_Special Ed PM Run,Reason_Mechanical Problem,Occured_on_Thu,Occured_Between_14_to_15,Boro_Manhattan,Bus_Company_Name_HAPPY CHILD TRANS LLC (B2,Delayed_61 and more_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Mechanical Problem
Run_Type_Special Ed PM Run,Reason_Other,Occured_on_Thu,Occured_Between_14_to_15,Boro_Queens,Bus_Company_Name_HAPPY CHILD TRANS LLC (B2,Delayed_31-60_MINs,1-10_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Other
Run_Type_Special Ed AM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_14_to_15,Boro_Manhattan,Bus_Company_Name_LEESEL TRANSP CORP (B2192,Delayed_16-30_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_No,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Special Ed PM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_14_to_15,Boro_Brooklyn,Bus_Company_Name_ALLIED TRANSIT CORP.,Delayed_16-30_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Special Ed PM Run,Reason_Flat Tire,Occured_on_Thu,Occured_Between_14_to_15,Boro_Nassau County,Bus_Company_Name_LOGAN BUS COMPANY INC.,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_No,Have_You_Alerted_OPT_No,Result_Flat Tire
Run_Type_Special Ed PM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_14_to_15,Boro_Brooklyn,Bus_Company_Name_B & F SKILLED INC.(B2192),Delayed_0-15_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Special Ed PM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_14_to_15,Boro_Queens,Bus_Company_Name_LITTLE RICHIE BUS SERVICE,Delayed_16-30_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Pre-K/EI,Reason_Mechanical Problem,Occured_on_Thu,Occured_Between_14_to_15,Boro_Bronx,"Bus_Company_Name_G.V.C., LTD.",Delayed_31-60_MINs,11-20_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_Yes,Result_Mechanical Problem
Run_Type_Special Ed PM Run,Reason_Other,Occured_on_Thu,Occured_Between_14_to_15,Boro_Brooklyn,Bus_Company_Name_EMPIRE STATE BUS CORP.,Delayed_31-60_MINs,1-10_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Other
Run_Type_General Ed PM Run,Reason_Mechanical Problem,Occured_on_Thu,Occured_Between_2_to_3,Boro_Queens,Bus_Company_Name_LORISSA BUS SERVICE INC.,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_No,Have_You_Alerted_OPT_No,Result_Mechanical Problem
Run_Type_Special Ed PM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_14_to_15,Boro_Manhattan,Bus_Company_Name_TWENTY FIRST AV TRANSP (B,Delayed_16-30_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Special Ed PM Run,Reason_Won`t Start,Occured_on_Thu,Occured_Between_16_to_17,Bus_Company_Name_LORINDA ENT. LTD.,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Won`t Start
Run_Type_Special Ed AM Run,Reason_Mechanical Problem,Occured_on_Thu,Occured_Between_16_to_17,Boro_Bronx,Bus_Company_Name_CONSOLIDATED BUS TRANS. I,Delayed_16-30_MINs,1-10_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Mechanical Problem
Run_Type_Project Read PM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_16_to_17,Boro_Bronx,Bus_Company_Name_G.V.C. LTD. (B2192),Delayed_0-15_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_No,Have_You_Alerted_OPT_No,Result_Heavy Traffic
